Team,Year,Perc_foreign
Ipswich Town,2003,
Ipswich Town,2004,
Ipswich Town,2005,
Ipswich Town,2006,
Ipswich Town,2007,
Ipswich Town,2008,
Ipswich Town,2009,
Ipswich Town,2010,
Ipswich Town,2011,
Ipswich Town,2012,
Ipswich Town,2013,
Ipswich Town,2014,
Leeds United,1992,
Leeds United,1993,
Leeds United,1994,37.04
Leeds United,1995,39.39
Leeds United,1996,42.42
Leeds United,1997,63.89
Leeds United,1998,63.89
Leeds United,1999,54.55
Leeds United,2000,61.11
Leeds United,2001,50.0
Leeds United,2002,50.0
Leeds United,2003,52.94
Leeds United,2004,
Leeds United,2005,
Leeds United,2006,
Leeds United,2007,
Leeds United,2008,
Leeds United,2009,
Leeds United,2010,
Leeds United,2011,
Leeds United,2012,
Leeds United,2013,
Leeds United,2014,
Leicester City,1992,
Leicester City,1993,
Leicester City,1994,17.24
Leicester City,1995,
Leicester City,1996,33.33
Leicester City,1997,38.46
Leicester City,1998,52.0
Leicester City,1999,37.04
Leicester City,2000,36.36
Leicester City,2001,39.39
Leicester City,2002,
Leicester City,2003,48.72
Leicester City,2004,
Leicester City,2005,
Leicester City,2006,
Leicester City,2007,
Leicester City,2008,
Leicester City,2009,
Leicester City,2010,
Leicester City,2011,
Leicester City,2012,
Leicester City,2013,
Leicester City,2014,58.62
Liverpool FC,1992,45.16
Liverpool FC,1993,38.71
Liverpool FC,1994,42.31
Liverpool FC,1995,40.0
Liverpool FC,1996,40.74
Liverpool FC,1997,50.0
Liverpool FC,1998,57.14
Liverpool FC,1999,69.7
Liverpool FC,2000,70.0
Liverpool FC,2001,62.96
Liverpool FC,2002,68.97
Liverpool FC,2003,71.88
Liverpool FC,2004,70.59
Liverpool FC,2005,71.88
Liverpool FC,2006,73.53
Liverpool FC,2007,62.5
Liverpool FC,2008,85.71
Liverpool FC,2009,80.0
Liverpool FC,2010,59.52
Liverpool FC,2011,57.14
Liverpool FC,2012,50.0
Liverpool FC,2013,70.97
Liverpool FC,2014,64.29
Manchester City,1992,37.5
Manchester City,1993,38.24
Manchester City,1994,35.71
Manchester City,1995,50.0
Manchester City,1996,
Manchester City,1997,
Manchester City,1998,
Manchester City,1999,
Manchester City,2000,66.67
Manchester City,2001,
Manchester City,2002,75.68
Manchester City,2003,72.73
Manchester City,2004,58.62
Manchester City,2005,50.0
Manchester City,2006,48.28
Manchester City,2007,63.33
Manchester City,2008,62.5
Manchester City,2009,60.0
Manchester City,2010,60.0
Manchester City,2011,64.71
Manchester City,2012,71.05
Manchester City,2013,77.78
Manchester City,2014,80.77
Manchester United,1992,
Manchester United,1993,
Manchester United,1994,
Manchester United,1995,37.04
Manchester United,1996,46.67
Manchester United,1997,45.16
Manchester United,1998,51.61
Manchester United,1999,54.05
Manchester United,2000,52.94
Manchester United,2001,66.67
Manchester United,2002,55.56
Manchester United,2003,60.0
Manchester United,2004,68.75
Manchester United,2005,68.97
Manchester United,2006,54.55
Manchester United,2007,57.58
Manchester United,2008,64.52
Manchester United,2009,66.67
Manchester United,2010,65.12
Manchester United,2011,53.66
Manchester United,2012,58.33
Manchester United,2013,67.65
Manchester United,2014,57.14
Middlesbrough FC,1992,38.46
Middlesbrough FC,1993,
Middlesbrough FC,1994,
Middlesbrough FC,1995,36.67
Middlesbrough FC,1996,44.12
Middlesbrough FC,1997,
Middlesbrough FC,1998,41.94
Middlesbrough FC,1999,47.06
Middlesbrough FC,2000,47.06
Middlesbrough FC,2001,48.57
Middlesbrough FC,2002,46.88
Middlesbrough FC,2003,45.71
Middlesbrough FC,2004,41.94
Middlesbrough FC,2005,40.0
Middlesbrough FC,2006,46.88
Middlesbrough FC,2007,46.67
Middlesbrough FC,2008,43.33
Middlesbrough FC,2009,
Middlesbrough FC,2010,
Middlesbrough FC,2011,
Middlesbrough FC,2012,
Middlesbrough FC,2013,
Middlesbrough FC,2014,
Newcastle United,1992,
Newcastle United,1993,32.14
Newcastle United,1994,33.33
Newcastle United,1995,37.5
Newcastle United,1996,31.82
Newcastle United,1997,51.28
Newcastle United,1998,61.76
Newcastle United,1999,68.57
Newcastle United,2000,67.57
Newcastle United,2001,63.33
Newcastle United,2002,51.52
Newcastle United,2003,38.71
Newcastle United,2004,48.39
Newcastle United,2005,52.0
Newcastle United,2006,63.33
Newcastle United,2007,65.52
Newcastle United,2008,62.5
Newcastle United,2009,
Newcastle United,2010,44.74
Newcastle United,2011,60.0
Newcastle United,2012,66.67
Newcastle United,2013,75.76
Newcastle United,2014,64.71
Norwich City,1992,42.86
Norwich City,1993,34.78
Norwich City,1994,37.04
Norwich City,1995,
Norwich City,1996,
Norwich City,1997,
Norwich City,1998,
Norwich City,1999,
Norwich City,2000,
Norwich City,2001,
Norwich City,2002,
Norwich City,2003,
Norwich City,2004,44.44
Norwich City,2005,
Norwich City,2006,
Norwich City,2007,
Norwich City,2008,
Norwich City,2009,
Norwich City,2010,
Norwich City,2011,41.38
Norwich City,2012,47.06
Norwich City,2013,58.62
Norwich City,2014,
Nottingham Forest,1992,32.0
Nottingham Forest,1993,
Nottingham Forest,1994,37.5
Nottingham Forest,1995,35.71
Nottingham Forest,1996,39.39
Nottingham Forest,1997,
Nottingham Forest,1998,60.53
Nottingham Forest,1999,
Nottingham Forest,2000,
Nottingham Forest,2001,
Nottingham Forest,2002,
Nottingham Forest,2003,
Nottingham Forest,2004,
Nottingham Forest,2005,
Nottingham Forest,2006,
Nottingham Forest,2007,
Nottingham Forest,2008,
Nottingham Forest,2009,
Nottingham Forest,2010,
Nottingham Forest,2011,
Nottingham Forest,2012,
Nottingham Forest,2013,
Nottingham Forest,2014,
Oldham Athletic,1992,16.0
Oldham Athletic,1993,23.08
Oldham Athletic,1994,
Oldham Athletic,1995,
Oldham Athletic,1996,
Oldham Athletic,1997,
Oldham Athletic,1998,
Oldham Athletic,1999,
Oldham Athletic,2000,
Oldham Athletic,2001,
Oldham Athletic,2002,
Oldham Athletic,2003,
Oldham Athletic,2004,
Oldham Athletic,2005,
